,Code commune,Libellé commune,Code BV,id_bv,MARECHAL_eur,AUBRY_eur,BARDELLA_eur,TOUSSAINT_eur,HAYER_eur,BELLAMY_eur,GLUCKSMANN_eur,DEFFONTAINES_eur,Votants_eur,Blancs_eur,Nuls_eur,Inscrits_eur,TOUNSI_t1,GAILLARD_t1,ISNARD_t1,BREGEON_t1,PRETO_t1,YVARS_t1,MARTIN_t1,Votants_t1,Blancs_t1,Nuls_t1,Inscrits_t1,GAILLARD_t2,BREGEON_t2,Votants_t2,Blancs_t2,Nuls_t2,Inscrits_t2,evolution_Gaillard_t1_t2_abs,evolution_Gaillard_t1_t2_pct,evolution_Bregeon_t1_t2_abs,evolution_Bregeon_t1_t2_pct,evolution_Participation_t1_t2_abs,evolution_Participation_t1_t2_pct,evolution_Blancs_t1_t2_abs,evolution_Blancs_t1_t2_pct,evolution_BregeonIsnard_t1_t2_abs,evolution_BregeonIsnard_t1_t2_pct,evolution_NFP_eur_t1_abs,evolution_NFP_eur_t1_pct,evolution_LREM_eur_t1_abs,evolution_LREM_eur_t1_pct,evolution_LR_eur_t1_abs,evolution_LR_eur_t1_pct,evolution_RN_eur_t1_abs,evolution_RN_eur_t1_pct,evolution_Reqt_eur_t1_abs,evolution_Reqt_eur_t1_pct,evolution_EXD_eur_t1_abs,evolution_EXD_eur_t1_pct,evolution_Participation_eur_t1_abs,evolution_Participation_eur_t1_pct,evolution_Blancs_eur_t1_abs,evolution_Blancs_eur_t1_pct
0,92002,Antony,1,92002_1,40,47,62,46,199,93,123,10,673,5,0,973,8,237,46,378,12,107,1,797,8,0,965,236,458,718,24,0,965,-1,-0.10277492291880781,80,8.221993833504625,-79,-8.119218910585817,16,1.644398766700925,34,3.494347379239465,11,1.1305241521068858,179,18.396711202466598,-47,-4.830421377183967,45,4.6248715313463515,-28,-2.877697841726619,17,1.7471736896197325,124,12.744090441932169,3,0.3083247687564234
1,92002,Antony,2,92002_2,40,78,62,94,169,93,159,7,768,4,0,1093,12,300,47,433,8,91,4,909,14,0,1089,318,502,851,31,0,1090,18,1.646843549862763,69,6.312900274473924,-58,-5.3064958828911255,17,1.555352241537054,22,2.012808783165599,-38,-3.476669716376944,264,24.153705397987192,-46,-4.208600182982616,29,2.6532479414455628,-32,-2.92772186642269,-3,-0.2744739249771272,141,12.900274473924977,10,0.9149130832570906
2,92002,Antony,3,92002_3,38,62,66,44,129,46,127,9,559,2,0,867,8,254,27,285,7,90,2,684,11,0,854,257,345,627,25,0,854,3,0.34602076124567477,60,6.920415224913495,-57,-6.5743944636678195,14,1.6147635524798154,33,3.8062283737024223,12,1.384083044982699,156,17.99307958477509,-19,-2.1914648212226067,24,2.768166089965398,-31,-3.575547866205306,-7,-0.8073817762399077,125,14.417531718569782,9,1.0380622837370241
3,92002,Antony,4,92002_4,20,71,62,57,152,59,127,7,618,10,0,986,4,269,39,317,6,96,2,749,16,0,974,276,376,683,31,0,974,7,0.7099391480730223,59,5.983772819472617,-66,-6.693711967545639,15,1.5212981744421907,20,2.028397565922921,7,0.7099391480730223,165,16.734279918864097,-20,-2.028397565922921,34,3.4482758620689653,-14,-1.4198782961460445,20,2.028397565922921,131,13.28600405679513,6,0.6085192697768762
4,92002,Antony,5,92002_5,48,77,69,74,158,94,166,6,753,7,0,1089,13,316,59,372,14,103,3,891,11,0,1085,320,479,830,31,0,1085,4,0.3673094582185491,107,9.82552800734619,-61,-5.601469237832874,20,1.8365472910927456,48,4.40771349862259,-7,-0.642791551882461,214,19.65105601469238,-35,-3.213957759412305,34,3.1221303948576673,-34,-3.1221303948576673,0,0.0,138,12.672176308539946,4,0.3673094582185491
5,92002,Antony,6,92002_6,49,51,60,45,195,110,161,6,732,9,0,1039,8,236,54,396,11,97,1,823,20,0,1035,237,498,773,38,0,1035,1,0.0962463907603465,102,9.817131857555342,-50,-4.8123195380173245,18,1.7324350336862366,48,4.619826756496631,-27,-2.598652550529355,201,19.345524542829644,-56,-5.389797882579403,37,3.5611164581328203,-38,-3.6573628488931664,-1,-0.0962463907603465,91,8.75842155919153,11,1.0587102983638113
6,92002,Antony,7,92002_7,39,50,74,56,121,84,118,10,599,9,0,893,4,232,44,285,10,108,4,701,14,0,890,238,382,666,46,0,890,6,0.6718924972004479,97,10.862262038073908,-35,-3.9193729003359463,32,3.5834266517357225,53,5.93505039193729,-2,-0.22396416573348266,164,18.365061590145576,-40,-4.479283314669653,34,3.807390817469205,-29,-3.2474804031354982,5,0.5599104143337066,102,11.422172452407615,5,0.5599104143337066
7,92002,Antony,8,92002_8,39,105,61,46,112,67,111,13,597,5,0,1009,6,306,40,268,14,93,7,747,13,0,986,336,355,727,36,0,987,30,2.973240832507433,87,8.622398414271556,-20,-1.9821605550049552,23,2.2794846382556986,47,4.658077304261645,31,3.072348860257681,156,15.460852329038651,-27,-2.6759167492566895,32,3.1714568880079286,-25,-2.4777006937561943,7,0.6937561942517344,150,14.866204162537166,8,0.7928642220019821
8,92002,Antony,9,92002_9,36,116,66,48,114,43,110,13,611,15,0,985,12,314,28,250,12,88,4,737,29,0,976,332,334,716,50,0,976,18,1.8274111675126905,84,8.527918781725887,-21,-2.131979695431472,21,2.131979695431472,56,5.685279187817259,27,2.7411167512690358,136,13.807106598984772,-15,-1.5228426395939088,22,2.233502538071066,-24,-2.4365482233502536,-2,-0.20304568527918782,126,12.791878172588833,14,1.4213197969543148
9,92002,Antony,10,92002_10,46,72,76,56,148,97,100,13,651,8,0,952,2,252,45,320,11,127,2,769,10,0,947,247,415,708,46,0,947,-5,-0.5252100840336135,95,9.978991596638656,-61,-6.4075630252100835,36,3.7815126050420167,50,5.2521008403361344,11,1.1554621848739497,172,18.067226890756302,-52,-5.46218487394958,51,5.357142857142857,-35,-3.6764705882352944,16,1.680672268907563,118,12.394957983193278,2,0.21008403361344538
